pick_order_id,pick_slip_id,picking_zone,pick_task,picker_id,order_created_date,pick_order_status,picked_date
PO001,PS001,RACK_A,"[{""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 2}, {""bin_id"": ""BIN4"", ""product_id"": ""PROD003"", ""quantity"": 3}, {""bin_id"": ""BIN1"", ""product_id"": ""PROD001"", ""quantity"": 1}]",PICK9999,2025-06-01T00:00:00.000000,READY-FOR-PICKING,
PO002,PS004,RACK_A,"[{""bin_id"": ""BIN3"", ""product_id"": ""PROD002"", ""quantity"": 1}, {""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 1}, {""bin_id"": ""BIN1"", ""product_id"": ""PROD001"", ""quantity"": 1}]",PICK9999,2025-06-02T00:00:00.000000,READY-FOR-PICKING,
PO003,PS002,RACK_B,"[{""bin_id"": ""BIN5"", ""product_id"": ""PROD003"", ""quantity"": 2}, {""bin_id"": ""BIN8"", ""product_id"": ""PROD005"", ""quantity"": 2}, {""bin_id"": ""BIN6"", ""product_id"": ""PROD003"", ""quantity"": 1}]",PICK9999,2025-06-02T00:00:00.000000,READY-FOR-PICKING,
PO004,PS008,RACK_B,"[{""bin_id"": ""BIN5"", ""product_id"": ""PROD003"", ""quantity"": 1}, {""bin_id"": ""BIN6"", ""product_id"": ""PROD003"", ""quantity"": 3}, {""bin_id"": ""BIN7"", ""product_id"": ""PROD004"", ""quantity"": 1}]",PICK9999,2025-06-03T00:00:00.000000,READY-FOR-PICKING,
PO005,PS002,RACK_A,"[{""bin_id"": ""BIN1"", ""product_id"": ""PROD001"", ""quantity"": 1}, {""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 2}]",PICK9999,2025-06-04T00:00:00.000000,READY-FOR-PICKING,
PO006,PS006,RACK_B,"[{""bin_id"": ""BIN5"", ""product_id"": ""PROD003"", ""quantity"": 1}, {""bin_id"": ""BIN8"", ""product_id"": ""PROD005"", ""quantity"": 1}, {""bin_id"": ""BIN6"", ""product_id"": ""PROD003"", ""quantity"": 3}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO007,PS003,RACK_A,"[{""bin_id"": ""BIN4"", ""product_id"": ""PROD003"", ""quantity"": 2}, {""bin_id"": ""BIN3"", ""product_id"": ""PROD002"", ""quantity"": 1}, {""bin_id"": ""BIN1"", ""product_id"": ""PROD001"", ""quantity"": 1}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO008,PS007,RACK_A,"[{""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 3}, {""bin_id"": ""BIN3"", ""product_id"": ""PROD002"", ""quantity"": 1}, {""bin_id"": ""BIN1"", ""product_id"": ""PROD001"", ""quantity"": 3}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO009,PS005,RACK_A,"[{""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 2}, {""bin_id"": ""BIN4"", ""product_id"": ""PROD003"", ""quantity"": 1}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO010,PS005,RACK_A,"[{""bin_id"": ""BIN3"", ""product_id"": ""PROD002"", ""quantity"": 1}, {""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 1}, {""bin_id"": ""BIN1"", ""product_id"": ""PROD001"", ""quantity"": 2}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO011,PS008,RACK_A,"[{""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 2}, {""bin_id"": ""BIN4"", ""product_id"": ""PROD003"", ""quantity"": 3}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO012,PS006,RACK_B,"[{""bin_id"": ""BIN8"", ""product_id"": ""PROD005"", ""quantity"": 3}, {""bin_id"": ""BIN5"", ""product_id"": ""PROD003"", ""quantity"": 1}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO013,PS001,RACK_A,"[{""bin_id"": ""BIN2"", ""product_id"": ""PROD001"", ""quantity"": 1}, {""bin_id"": ""BIN4"", ""product_id"": ""PROD003"", ""quantity"": 2}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO014,PS005,RACK_A,"[{""bin_id"": ""BIN4"", ""product_id"": ""PROD003"", ""quantity"": 2}, {""bin_id"": ""BIN3"", ""product_id"": ""PROD002"", ""quantity"": 2}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
PO015,PS009,RACK_B,"[{""bin_id"": ""BIN5"", ""product_id"": ""PROD003"", ""quantity"": 3}, {""bin_id"": ""BIN8"", ""product_id"": ""PROD005"", ""quantity"": 1}, {""bin_id"": ""BIN7"", ""product_id"": ""PROD004"", ""quantity"": 2}]",PICK9999,2025-06-20T00:00:00.000000,READY-FOR-PICKING,
