pick_slip_id,customer_id,pick_slip_created_date,items,requested_delivery_date,pick_slip_status,packer_id,dispatcher_id,packing_zone,dispatch_start_date,dispatched_date,ready_for_packing_date
PS001,CUST0005,2025-06-01T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 1}, {""productId"": ""PROD001"", ""quantity"": 2}, {""productId"": ""PROD003"", ""quantity"": 2}, {""productId"": ""PROD003"", ""quantity"": 3}]",2025-06-05T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_8,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS002,CUST0003,2025-06-02T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 1}, {""productId"": ""PROD001"", ""quantity"": 2}, {""productId"": ""PROD003"", ""quantity"": 1}, {""productId"": ""PROD003"", ""quantity"": 2}, {""productId"": ""PROD005"", ""quantity"": 2}]",2025-06-08T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_4,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS003,CUST0004,2025-06-03T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 1}, {""productId"": ""PROD002"", ""quantity"": 1}, {""productId"": ""PROD003"", ""quantity"": 2}]",2025-06-10T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_1,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS004,CUST0004,2025-06-04T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 1}, {""productId"": ""PROD002"", ""quantity"": 1}]",2025-06-09T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_8,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS005,CUST0003,2025-06-20T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 1}, {""productId"": ""PROD001"", ""quantity"": 2}, {""productId"": ""PROD002"", ""quantity"": 1}, {""productId"": ""PROD002"", ""quantity"": 2}, {""productId"": ""PROD003"", ""quantity"": 1}, {""productId"": ""PROD003"", ""quantity"": 2}]",2025-06-25T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_5,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS006,CUST0005,2025-06-20T00:00:00.000000,"[{""productId"": ""PROD003"", ""quantity"": 1}, {""productId"": ""PROD003"", ""quantity"": 3}, {""productId"": ""PROD005"", ""quantity"": 1}, {""productId"": ""PROD005"", ""quantity"": 3}]",2025-06-30T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_1,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS007,CUST0003,2025-06-25T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 3}, {""productId"": ""PROD002"", ""quantity"": 1}]",2025-06-30T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_8,2025-07-02T22:18:26,2025-07-02T22:19:27,
PS008,CUST0004,2025-06-25T00:00:00.000000,"[{""productId"": ""PROD001"", ""quantity"": 2}, {""productId"": ""PROD003"", ""quantity"": 1}, {""productId"": ""PROD003"", ""quantity"": 3}, {""productId"": ""PROD004"", ""quantity"": 1}]",2025-06-30T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_10,2025-07-02T22:14:49,2025-07-02T22:15:49,
PS009,CUST0003,2025-06-25T00:00:00.000000,"[{""productId"": ""PROD003"", ""quantity"": 3}, {""productId"": ""PROD004"", ""quantity"": 2}, {""productId"": ""PROD005"", ""quantity"": 1}]",2025-06-30T00:00:00.000000,READY-FOR_PICKING,PACK9999,,ZONE_5,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1420,,2025-07-02T22:13:57,,,,,,,2025-07-02T22:14:49,2025-07-02T22:15:49,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
1733,,2025-07-02T22:18:04,,,,,,,2025-07-02T22:18:26,2025-07-02T22:19:27,
